epoch,sat,c1_raw_m,c1_tgd_m,c2_m,if_m,tgd_s,tgd_m,tx_raw_offset_s,tx_tgd_offset_s,tx_if_offset_s,dt_tgd_ns,dt_if_ns,dt_raw_if_ns,dc1_m,c1_raw_back_m,c1_tgd_back_m,if_back_m,c1_raw_residual_m,c1_tgd_residual_m,if_residual_m
2025-01-01 00:00:0.000000,G10,20183692.238,20183690.461,20183692.788,20183691.388,2.328306436540e-09,1.776940162793e+00,-6.706788384533e-02,-6.706787791810e-02,-6.706787868123e-02,5.927234383862e+00,-7.631318771351e-01,5.164102506727e+00,1.776940163225e+00,2.018369223800e+07,2.018369046106e+07,2.018369138785e+07,0.000000000000e+00,0.000000000000e+00,-3.725290298462e-09
2025-01-01 00:00:0.000000,G12,22337276.332,22337285.927,22337276.002,22337276.842,-1.257285475731e-08,-9.595476879077e+00,-7.394736221244e-02,-7.394739421950e-02,-7.394737648677e-02,-3.200706563677e+01,1.773273324013e+01,-1.427433239665e+01,-9.595476880670e+00,2.233727633200e+07,2.233728592748e+07,2.233727684209e+07,3.725290298462e-09,3.725290298462e-09,3.725290298462e-09
2025-01-01 00:00:0.000000,G24,24431822.092,24431820.315,24431827.712,24431813.405,2.328306436539e-09,1.776940162792e+00,-8.102726525808e-02,-8.102725933085e-02,-8.102723395309e-02,5.927234369985e+00,2.537775206646e+01,3.130498643644e+01,1.776940163225e+00,2.443182209200e+07,2.443182031506e+07,2.443181340501e+07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2025-01-01 00:00:0.000000,G25,20707533.219,20707528.954,20707536.259,20707528.520,5.587935447690e-09,4.264656390698e+00,-6.957031273208e-02,-6.957029850672e-02,-6.957029146993e-02,1.422536249907e+01,7.036791288551e+00,2.126215378762e+01,4.264656390995e+00,2.070753321900e+07,2.070752895434e+07,2.070752851999e+07,-3.725290298462e-09,0.000000000000e+00,0.000000000000e+00
2025-01-01 00:00:0.000000,G28,21742645.118,21742652.226,21742645.168,21742645.041,-9.313225746150e-09,-7.107760651164e+00,-7.200204041327e-02,-7.200206412220e-02,-7.200204946869e-02,-2.370893752157e+01,1.465351141816e+01,-9.055426103410e+00,-7.107760652900e+00,2.174264511800e+07,2.174265222576e+07,2.174264504071e+07,0.000000000000e+00,3.725290298462e-09,0.000000000000e+00
2025-01-01 00:00:0.000000,G31,23673016.577,23673026.883,23673017.817,23673014.660,-1.350417733190e-08,-1.030625294417e+01,-7.874585672040e-02,-7.874589109836e-02,-7.874586383114e-02,-3.437795938199e+01,2.726721323731e+01,-7.110746144678e+00,-1.030625294521e+01,2.367301657700e+07,2.367302688325e+07,2.367301466030e+07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2025-01-01 00:01:0.000000,G10,20180878.485,20180876.708,20180879.035,20180877.635,2.328306436540e-09,1.776940162793e+00,-6.705849719285e-02,-6.705849126562e-02,-6.705849202875e-02,5.927234369985e+00,-7.631318493795e-01,5.164102520605e+00,1.776940163225e+00,2.018087848500e+07,2.018087670806e+07,2.018087763485e+07,-3.725290298462e-09,-3.725290298462e-09,-3.725290298462e-09
2025-01-01 00:01:0.000000,G12,22348879.874,22348889.469,22348880.684,22348878.622,-1.257285475731e-08,-9.595476879077e+00,-7.398606717581e-02,-7.398609918288e-02,-7.398607557231e-02,-3.200706563677e+01,2.361056510025e+01,-8.396500536523e+00,-9.595476880670e+00,2.234887987400e+07,2.234888946948e+07,2.234887862196e+07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2025-01-01 00:01:0.000000,G23,21311257.268,21311263.665,21311258.088,21311256.001,-8.381903171539e-09,-6.396984586050e+00,-7.148158368858e-02,-7.148160502662e-02,-7.148158784257e-02,-2.133804374860e+01,1.718405473472e+01,-4.153989013878e+00,-6.396984584630e+00,2.131125726800e+07,2.131126366498e+07,2.131125600050e+07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2025-01-01 00:01:0.000000,G24,24470512.353,24470510.576,24470518.443,24470502.940,2.328306436539e-09,1.776940162792e+00,-8.115632212646e-02,-8.115631619922e-02,-8.115628839815e-02,5.927234369985e+00,2.780106872491e+01,3.372830309489e+01,1.776940163225e+00,2.447051235300e+07,2.447051057606e+07,2.447050293952e+07,-3.725290298462e-09,-3.725290298462e-09,-3.725290298462e-09
