epoch,sat,elevation_deg,azimuth_deg,c1w_m,c2w_m,code_l1_iono_m,phase_l1_iono_m,leveled_dual_l1_iono_m,klobuchar_l1_iono_m,diff_m
2025-01-01 00:00:00.000,G10,83.007251,265.659363,20183692.088,20183692.788,1.082,1.322,1.903,5.795,-3.892
2025-01-01 00:00:00.000,G12,34.263820,64.684614,22337275.912,22337276.002,0.139,2.296,0.131,9.889,-9.758
2025-01-01 00:00:00.000,G25,53.301553,118.546452,20707532.979,20707536.259,5.070,2.018,4.795,7.301,-2.507
2025-01-01 00:00:00.000,G28,44.909695,252.344887,21742645.208,21742645.168,-0.062,1.626,-0.503,7.554,-8.057
2025-01-01 00:00:00.000,G31,18.161700,239.024792,23673016.737,23673017.817,1.669,-0.442,3.188,12.326,-9.138
2025-01-01 00:01:00.000,G10,83.053716,261.327046,20180878.325,20180879.035,1.097,1.350,1.932,5.821,-3.889
2025-01-01 00:01:00.000,G12,34.105228,64.162857,22348880.074,22348880.684,0.943,2.335,0.170,9.952,-9.782
2025-01-01 00:01:00.000,G25,53.551304,117.786395,20692433.814,20692437.004,4.931,2.029,4.805,7.303,-2.498
2025-01-01 00:01:00.000,G28,45.222274,252.891331,21722468.189,21722467.779,-0.634,1.606,-0.523,7.548,-8.071
2025-01-01 00:01:00.000,G31,18.497572,239.349308,23638506.724,23638509.114,3.694,-0.462,3.168,12.286,-9.118
2025-01-01 00:02:00.000,G10,83.057950,256.955996,20178497.776,20178498.646,1.345,1.378,1.959,5.846,-3.887
2025-01-01 00:02:00.000,G12,33.941606,63.645465,22360928.104,22360928.224,0.185,2.386,0.220,10.017,-9.796
2025-01-01 00:02:00.000,G25,53.794734,117.015778,20677771.565,20677774.165,4.019,2.043,4.820,7.305,-2.486
2025-01-01 00:02:00.000,G28,45.532924,253.443336,21702545.525,21702545.035,-0.757,1.596,-0.534,7.542,-8.076
2025-01-01 00:02:00.000,G31,18.832936,239.676469,23604170.928,23604172.408,2.288,-0.532,3.098,12.246,-9.148
2025-01-01 00:03:00.000,G10,83.019734,252.600807,20176554.898,20176556.028,1.747,1.408,1.989,5.872,-3.883
2025-01-01 00:03:00.000,G12,33.773007,63.132525,22373421.563,22373422.003,0.680,2.454,0.288,10.083,-9.795
2025-01-01 00:03:00.000,G25,54.031668,116.234665,20663551.924,20663554.734,4.343,2.057,4.834,7.308,-2.475
2025-01-01 00:03:00.000,G28,45.841612,254.000950,21682880.495,21682879.325,-1.809,1.577,-0.553,7.537,-8.090
2025-01-01 00:03:00.000,G31,19.167783,240.006283,23570012.098,23570014.248,3.323,-0.599,3.031,12.206,-9.175
2025-01-01 00:04:00.000,G10,82.939625,248.314853,20175047.003,20175047.853,1.314,1.434,2.015,5.898,-3.883
2025-01-01 00:04:00.000,G12,33.599489,62.624122,22386354.491,22386355.001,0.788,2.515,0.350,10.150,-9.800
2025-01-01 00:04:00.000,G25,54.261931,115.443141,20649773.379,20649776.199,4.359,2.069,4.846,7.312,-2.467
2025-01-01 00:04:00.000,G28,46.148300,254.564220,21663468.487,21663468.387,-0.155,1.562,-0.567,7.532,-8.100
2025-01-01 00:04:00.000,G31,19.502099,240.338759,23536026.573,23536029.833,5.039,-0.657,2.973,12.166,-9.194
2025-01-01 00:05:00.000,G10,82.818898,244.146600,20173978.639,20173979.899,1.948,1.462,2.043,5.925,-3.882
2025-01-01 00:05:00.000,G12,33.421110,62.120335,22399729.733,22399730.223,0.757,2.583,0.418,10.218,-9.800
2025-01-01 00:05:00.000,G25,54.485348,114.641314,20636442.325,20636445.335,4.653,2.089,4.866,7.317,-2.451
2025-01-01 00:05:00.000,G28,46.452954,255.133191,21644312.951,21644313.291,0.526,1.543,-0.587,7.528,-8.116
2025-01-01 00:05:00.000,G31,19.835873,240.673906,23502220.831,23502225.371,7.018,-0.652,2.977,12.127,-9.150
2025-01-01 00:06:00.000,G10,82.659443,240.136737,20173355.297,20173356.337,1.608,1.490,2.072,5.952,-3.880
2025-01-01 00:06:00.000,G12,33.237928,61.621242,22413549.091,22413548.451,-0.989,2.656,0.491,10.288,-9.798
2025-01-01 00:06:00.000,G25,54.701745,113.829313,20623564.459,20623567.759,5.101,2.105,4.881,7.322,-2.440
2025-01-01 00:06:00.000,G28,46.755536,255.707911,21625417.768,21625417.868,0.155,1.533,-0.597,7.524,-8.121
