epoch,sat_count,dual_count,mean_elevation_deg,mean_model_l1_iono_m,mean_dual_l1_iono_m,mean_diff_m
2025-01-01 00:00:00.000,5,5,46.728804,8.573102,1.902660,-6.670441
2025-01-01 00:01:00.000,5,5,46.886019,8.581884,1.910289,-6.671595
2025-01-01 00:02:00.000,5,5,47.032030,8.591264,1.912705,-6.678559
2025-01-01 00:03:00.000,5,5,47.166761,8.601245,1.917796,-6.683449
2025-01-01 00:04:00.000,5,5,47.290289,8.611828,1.923147,-6.688681
2025-01-01 00:05:00.000,5,5,47.402836,8.623017,1.943330,-6.679687
2025-01-01 00:06:00.000,5,5,47.504749,8.634815,2.048343,-6.586472
2025-01-01 00:07:00.000,5,5,47.596464,8.647226,2.055673,-6.591553
2025-01-01 00:08:00.000,5,5,47.678481,8.660255,2.061507,-6.598748
2025-01-01 00:09:00.000,5,5,47.751331,8.673906,2.073107,-6.600799
2025-01-01 00:10:00.000,5,5,47.815546,8.688185,2.087328,-6.600857
2025-01-01 00:11:00.000,5,5,47.871648,8.703098,2.099845,-6.603253
2025-01-01 00:12:00.000,5,5,47.920126,8.718653,2.109775,-6.608878
2025-01-01 00:13:00.000,5,5,47.961435,8.734856,2.127531,-6.607325
2025-01-01 00:14:00.000,5,5,47.995987,8.751716,2.150832,-6.600884
2025-01-01 00:15:00.000,5,5,48.024152,8.769240,2.178190,-6.591050
2025-01-01 00:16:00.000,5,5,48.046260,8.787436,2.207836,-6.579600
2025-01-01 00:17:00.000,5,5,48.062600,8.806314,2.235506,-6.570808
2025-01-01 00:18:00.000,5,5,48.073431,8.825881,2.259323,-6.566557
2025-01-01 00:19:00.000,5,5,48.078976,8.846147,2.290167,-6.555979
2025-01-01 00:20:00.000,5,5,48.079434,8.867120,2.319385,-6.547734
2025-01-01 00:21:00.000,5,5,48.074977,8.888809,2.348919,-6.539890
2025-01-01 00:22:00.000,5,5,48.065757,8.911224,2.384805,-6.526420
2025-01-01 00:23:00.000,5,5,48.051909,8.934374,2.422857,-6.511517
2025-01-01 00:24:00.000,5,5,48.033552,8.958268,2.461259,-6.497009
2025-01-01 00:25:00.000,5,5,48.010790,8.982916,2.507229,-6.475687
2025-01-01 00:26:00.000,5,5,47.983718,9.008327,2.556255,-6.452071
2025-01-01 00:27:00.000,5,5,47.952422,9.034510,2.608284,-6.426226
2025-01-01 00:28:00.000,5,5,47.916977,9.061475,2.658079,-6.403396
2025-01-01 00:29:00.000,5,5,47.877454,9.089233,2.713392,-6.375841
2025-01-01 00:30:00.000,5,5,47.833917,9.117793,2.768134,-6.349659
2025-01-01 00:31:00.000,5,5,47.786428,9.147164,2.824881,-6.322284
2025-01-01 00:32:00.000,5,5,47.735041,9.177358,2.879074,-6.298283
2025-01-01 00:33:00.000,5,5,47.679810,9.208383,2.931135,-6.277249
2025-01-01 00:34:00.000,5,5,47.620787,9.240251,2.984126,-6.256125
2025-01-01 00:35:00.000,5,5,47.558019,9.272971,3.037943,-6.235029
2025-01-01 00:36:00.000,5,5,47.491555,9.306554,3.099525,-6.207029
2025-01-01 00:37:00.000,5,5,47.421440,9.341010,3.167088,-6.173923
2025-01-01 00:38:00.000,5,5,47.347720,9.376350,3.236437,-6.139914
2025-01-01 00:39:00.000,5,5,47.270439,9.412584,3.312970,-6.099614
2025-01-01 00:40:00.000,5,5,47.189642,9.449724,3.390647,-6.059077
2025-01-01 00:41:00.000,5,5,47.105374,9.487779,3.468923,-6.018856
2025-01-01 00:42:00.000,5,5,47.017677,9.526760,3.549569,-5.977192
2025-01-01 00:43:00.000,6,6,41.672465,10.729525,4.990698,-5.738827
2025-01-01 00:44:00.000,6,6,41.663419,10.745372,5.044298,-5.701074
2025-01-01 00:45:00.000,6,6,41.651820,10.762096,5.107148,-5.654948
2025-01-01 00:46:00.000,6,6,41.637703,10.779708,5.172052,-5.607656
2025-01-01 00:47:00.000,6,6,41.621106,10.798220,5.237775,-5.560445
2025-01-01 00:48:00.000,6,6,41.602063,10.817642,5.304154,-5.513489
2025-01-01 00:49:00.000,6,6,41.580612,10.837988,5.371294,-5.466694
2025-01-01 00:50:00.000,6,6,41.556790,10.859267,5.444176,-5.415091
2025-01-01 00:51:00.000,6,6,41.530632,10.881492,5.522149,-5.359343
2025-01-01 00:52:00.000,6,6,41.502177,10.904674,5.598279,-5.306395
