epoch,sat_count,mean_elevation_deg,mean_trop_m,min_trop_m,max_trop_m
2025-01-01 00:00:00.000,6,40.781347,5.523629,2.406368,12.468267
2025-01-01 00:01:00.000,7,41.486607,5.249606,2.406130,12.857031
2025-01-01 00:02:00.000,7,41.473756,5.292818,2.406108,13.269569
2025-01-01 00:03:00.000,7,41.453080,5.340779,2.406304,13.708109
2025-01-01 00:04:00.000,6,46.712003,3.930256,2.406719,7.154502
2025-01-01 00:05:00.000,6,46.725365,3.915420,2.407352,7.038843
2025-01-01 00:06:00.000,5,47.504749,3.979691,2.408206,6.927277
2025-01-01 00:07:00.000,5,47.596464,3.958044,2.409281,6.819600
2025-01-01 00:08:00.000,5,47.678481,3.937486,2.410578,6.715620
2025-01-01 00:09:00.000,5,47.751331,3.917981,2.412098,6.615157
2025-01-01 00:10:00.000,5,47.815546,3.899500,2.413843,6.518046
2025-01-01 00:11:00.000,5,47.871648,3.882012,2.415814,6.424127
2025-01-01 00:12:00.000,5,47.920126,3.865491,2.418012,6.333254
2025-01-01 00:13:00.000,5,47.961435,3.849912,2.420438,6.245288
2025-01-01 00:14:00.000,5,47.995987,3.835252,2.423094,6.160099
2025-01-01 00:15:00.000,5,48.024152,3.821490,2.425982,6.077564
2025-01-01 00:16:00.000,5,48.046260,3.808608,2.429103,5.997568
2025-01-01 00:17:00.000,5,48.062600,3.796587,2.432459,5.920002
2025-01-01 00:18:00.000,5,48.073431,3.785411,2.436051,5.844764
2025-01-01 00:19:00.000,5,48.078976,3.775066,2.439882,5.771757
2025-01-01 00:20:00.000,5,48.079434,3.765539,2.443954,5.700888
2025-01-01 00:21:00.000,5,48.074977,3.756817,2.448268,5.632072
2025-01-01 00:22:00.000,5,48.065757,3.748891,2.452827,5.565227
2025-01-01 00:23:00.000,5,48.051909,3.741751,2.457633,5.500274
2025-01-01 00:24:00.000,5,48.033552,3.735389,2.462688,5.437141
2025-01-01 00:25:00.000,5,48.010790,3.729799,2.467995,5.375757
2025-01-01 00:26:00.000,5,47.983718,3.724974,2.473556,5.316055
2025-01-01 00:27:00.000,5,47.952422,3.720911,2.479373,5.257975
2025-01-01 00:28:00.000,5,47.916977,3.717605,2.485450,5.201454
2025-01-01 00:29:00.000,5,47.877454,3.715056,2.491790,5.146437
2025-01-01 00:30:00.000,6,41.541313,5.369198,2.498395,13.648884
2025-01-01 00:31:00.000,6,41.568773,5.281953,2.505267,13.130611
2025-01-01 00:32:00.000,6,41.593191,5.201520,2.512412,12.649435
2025-01-01 00:33:00.000,6,41.614611,5.127267,2.519830,12.201547
2025-01-01 00:34:00.000,6,41.633076,5.058646,2.527527,11.783641
2025-01-01 00:35:00.000,6,41.648623,4.995179,2.535505,11.392834
2025-01-01 00:36:00.000,6,41.661292,4.936452,2.543769,11.026603
2025-01-01 00:37:00.000,6,41.671121,4.882100,2.552321,10.682729
2025-01-01 00:38:00.000,6,41.678145,4.831803,2.561166,10.359250
2025-01-01 00:39:00.000,6,41.682402,4.785280,2.570308,10.054429
2025-01-01 00:40:00.000,6,41.683926,4.742281,2.579750,9.766721
2025-01-01 00:41:00.000,6,41.682755,4.702588,2.589498,9.494747
2025-01-01 00:42:00.000,6,41.678922,4.666005,2.599556,9.237272
2025-01-01 00:43:00.000,6,41.672465,4.632361,2.609928,8.993186
2025-01-01 00:44:00.000,6,41.663419,4.601503,2.620618,8.761491
2025-01-01 00:45:00.000,6,41.651820,4.573295,2.631633,8.541287
2025-01-01 00:46:00.000,6,41.637703,4.547620,2.642977,8.331755
2025-01-01 00:47:00.000,6,41.621106,4.524371,2.654656,8.132157
2025-01-01 00:48:00.000,6,41.602063,4.503457,2.666674,7.941819
2025-01-01 00:49:00.000,6,41.580612,4.484796,2.679038,7.760126
2025-01-01 00:50:00.000,6,41.556790,4.468320,2.691753,7.586518
2025-01-01 00:51:00.000,6,41.530632,4.453969,2.704826,7.420482
2025-01-01 00:52:00.000,6,41.502177,4.441691,2.718262,7.261548
2025-01-01 00:53:00.000,6,41.471460,4.431446,2.732069,7.109282
2025-01-01 00:54:00.000,6,41.438519,4.423199,2.746253,6.963288
2025-01-01 00:55:00.000,6,41.403392,4.416925,2.760820,7.066544
2025-01-01 00:56:00.000,6,41.366114,4.412607,2.775779,7.185169
2025-01-01 00:57:00.000,6,41.326723,4.410233,2.791136,7.308680
2025-01-01 00:58:00.000,6,41.285256,4.409801,2.796036,7.437356
2025-01-01 00:59:00.000,6,41.241749,4.411315,2.791960,7.571497
2025-01-01 01:00:00.000,6,41.196240,4.414788,2.788029,7.711431
2025-01-01 01:01:00.000,6,41.148764,4.420237,2.784243,7.857509
2025-01-01 01:02:00.000,6,41.099358,4.427692,2.780600,8.010114
2025-01-01 01:03:00.000,6,41.048058,4.437187,2.777097,8.169661
2025-01-01 01:04:00.000,6,40.994900,4.448765,2.773732,8.336603
2025-01-01 01:05:00.000,6,40.939919,4.462480,2.770505,8.511430
2025-01-01 01:06:00.000,5,45.870898,3.635136,2.767412,5.590661
2025-01-01 01:07:00.000,6,40.687078,4.577371,2.764453,9.371697
2025-01-01 01:08:00.000,6,40.614250,4.610129,2.761626,9.646915
2025-01-01 01:09:00.000,5,45.866990,3.587906,2.758928,5.330154
2025-01-01 01:10:00.000,6,40.464660,4.686248,2.756360,10.248056
2025-01-01 01:11:00.000,6,40.387953,4.730095,2.753918,10.577132
2025-01-01 01:12:00.000,5,45.846985,3.548290,2.751602,5.094023
2025-01-01 01:13:00.000,5,45.836888,3.536675,2.749410,5.020186
2025-01-01 01:14:00.000,5,51.053924,3.314259,2.595219,4.948613
2025-01-01 01:15:00.000,6,44.257056,4.945314,2.592805,13.134204
2025-01-01 01:16:00.000,7,39.703395,5.787464,2.590513,12.850139
2025-01-01 01:17:00.000,6,44.260774,4.843203,2.588345,12.578645
2025-01-01 01:18:00.000,6,44.259533,4.795986,2.586301,12.318957
2025-01-01 01:19:00.000,7,39.544586,5.817608,2.584382,12.216310
2025-01-01 01:20:00.000,6,44.250822,4.708601,2.582588,11.832231
2025-01-01 01:21:00.000,6,44.243340,4.668211,2.580921,11.603945
2025-01-01 01:22:00.000,6,44.233768,4.629887,2.579380,11.384957
2025-01-01 01:23:00.000,6,44.222099,4.593539,2.577968,11.174754
2025-01-01 01:24:00.000,6,44.208328,4.559085,2.576684,10.972860
2025-01-01 01:25:00.000,5,50.470469,3.275967,2.575530,4.287072
2025-01-01 01:26:00.000,5,50.402999,3.276206,2.574507,4.236580
2025-01-01 01:27:00.000,5,50.333140,3.277042,2.573615,4.187448
2025-01-01 01:28:00.000,6,44.132149,4.438729,2.572856,10.240005
2025-01-01 01:29:00.000,6,44.107813,4.412686,2.572230,10.073623
2025-01-01 01:30:00.000,6,44.081357,4.388152,2.571739,9.913321
2025-01-01 01:31:00.000,6,44.052780,4.365076,2.571383,9.758807
2025-01-01 01:32:00.000,6,40.200636,4.474523,2.729579,9.609812
2025-01-01 01:33:00.000,6,43.989265,4.323128,2.571083,9.466081
2025-01-01 01:34:00.000,6,40.210773,4.430819,2.729726,9.327375
2025-01-01 01:35:00.000,6,40.214191,4.410966,2.729949,9.193471
2025-01-01 01:36:00.000,6,40.216523,4.392399,2.730269,9.064159
2025-01-01 01:37:00.000,5,45.161922,3.462259,2.730687,3.863591
2025-01-01 01:38:00.000,6,40.217975,4.359009,2.731201,8.818532
2025-01-01 01:39:00.000,6,43.748049,4.228330,2.573556,8.701856
2025-01-01 01:40:00.000,6,40.215208,4.330437,2.732515,8.589048
2025-01-01 01:41:00.000,6,38.823587,5.833764,2.575538,13.550448
2025-01-01 01:42:00.000,7,34.780197,6.874189,2.576753,13.719793
2025-01-01 01:43:00.000,6,38.986620,5.639909,2.578117,12.558649
2025-01-01 01:44:00.000,6,39.065592,5.553064,2.579635,12.114617
2025-01-01 01:45:00.000,6,39.142870,5.472152,2.581305,11.700548
2025-01-01 01:46:00.000,6,39.218456,5.396672,2.583131,11.313536
2025-01-01 01:47:00.000,6,39.292354,5.326190,2.585114,10.951044
2025-01-01 01:48:00.000,6,39.364572,5.260323,2.587255,10.610838
2025-01-01 01:49:00.000,6,39.435114,5.198733,2.589557,10.290951
2025-01-01 01:50:00.000,6,39.503990,5.141122,2.592020,9.989640
2025-01-01 01:51:00.000,6,39.571207,5.087227,2.594647,9.705355
2025-01-01 01:52:00.000,6,39.636776,5.036811,2.597440,9.436714
2025-01-01 01:53:00.000,7,35.986151,5.717667,2.600400,10.085676
2025-01-01 01:54:00.000,6,39.763013,4.945605,2.603529,8.941551
2025-01-01 01:55:00.000,6,39.823703,4.904462,2.606830,8.712921
2025-01-01 01:56:00.000,6,39.882792,4.866088,2.610304,8.495693
2025-01-01 01:57:00.000,7,36.375540,5.459748,2.613953,9.236140
2025-01-01 01:58:00.000,7,36.468832,5.404536,2.617780,9.048974
2025-01-01 01:59:00.000,6,40.050581,4.766322,2.621786,7.904644
2025-01-01 02:00:00.000,6,40.103397,4.737831,2.625974,7.725594
2025-01-01 02:01:00.000,6,40.154681,4.711576,2.630347,7.554552
2025-01-01 02:02:00.000,6,40.204445,4.687480,2.634906,7.391006
2025-01-01 02:03:00.000,6,40.252705,4.665481,2.639654,7.234488
2025-01-01 02:04:00.000,6,40.299475,4.645521,2.644593,7.084569
2025-01-01 02:05:00.000,6,40.344769,4.627552,2.649727,6.940854
2025-01-01 02:06:00.000,6,40.388600,4.611533,2.655057,6.802977
2025-01-01 02:07:00.000,6,40.430984,4.597430,2.660587,6.670602
2025-01-01 02:08:00.000,6,40.471932,4.585214,2.666319,6.544881
2025-01-01 02:09:00.000,6,40.511458,4.574865,2.672255,6.500634
2025-01-01 02:10:00.000,6,40.549576,4.566369,2.678400,6.457859
2025-01-01 02:11:00.000,6,40.586296,4.559716,2.684756,6.416520
