epoch,sat,primary_code_type,primary_code_raw_m,primary_code_tgd_corrected_m,tgd_correction_m,c1c_m,c1w_m,c2w_m,l1w_cycles,l2w_cycles,tx_offset_s,sat_x_tx_m,sat_y_tx_m,sat_z_tx_m,sat_vx_tx_m,sat_vy_tx_m,sat_vz_tx_m,sat_x_rx_m,sat_y_rx_m,sat_z_rx_m,sat_vx_rx_m,sat_vy_rx_m,sat_vz_rx_m,sv_clock_bias_s,relativity_s,tgd_s,elevation_deg,azimuth_deg,model_iono_m,model_trop_m,code_iono_m,phase_iono_m,dual_iono_m,dual_minus_model_m
2025-01-01 00:00:00.000,G10,C1C,20183692.238,20183690.461,1.777,20183692.238,20183692.088,20183692.788,106065987.741000,82648818.114000,6.7067881522e-02,-7192606.917,21829535.169,13240733.735,-1207.655,1140.117,-2613.429,-7192499.721,21829570.488,13240733.735,-1207.649,1140.123,-2613.429,-2.5769183305e-04,2.2958815384e-08,2.3283064365e-09,83.007251,265.659363,5.795265,2.406368,1.082009,1.321966,1.918242,-3.877022
2025-01-01 00:00:00.000,G12,C1C,22337276.332,22337285.927,-9.595,22337276.332,22337275.912,22337276.002,117383152.390000,91467385.389000,7.3947374782e-02,-20214144.732,4344026.998,16358314.570,1350.268,-1663.306,2078.220,-20214121.221,4344136.402,16358314.570,1350.259,-1663.314,2078.220,-5.6177051721e-04,1.1613758227e-08,-1.2572854757e-08,34.263820,64.684614,9.888931,4.242364,0.139115,2.296373,0.130889,-9.758042
2025-01-01 00:00:00.000,G24,C1C,24431822.092,24431820.315,1.777,24431822.092,24431822.392,24431827.712,128390044.013000,100044177.081000,8.1027262931e-02,-17893544.795,-5935593.050,18390429.701,-888.958,-2265.983,-1517.384,-17893579.984,-5935486.968,18390429.701,-888.971,-2265.978,-1517.384,-4.6849111125e-04,-3.2260582141e-08,2.3283064365e-09,11.044061,51.605589,16.573660,12.468267,8.223272,4.929405,nan,nan
2025-01-01 00:00:00.000,G25,C1C,20707533.219,20707528.954,4.265,20707533.219,20707532.979,20707536.259,108818793.162000,84793859.455000,6.9570307140e-02,-19497968.078,16416617.880,6599513.170,306.277,-901.896,3012.794,-19497884.467,16416717.185,6599513.170,306.272,-901.898,3012.794,4.9739143837e-04,1.9885965039e-08,5.5879354477e-09,53.301553,118.546452,7.301469,2.978914,5.069987,2.018114,4.794767,-2.506702
2025-01-01 00:00:00.000,G28,C1C,21742645.118,21742652.226,-7.108,21742645.118,21742645.208,21742645.168,114258349.206000,89032475.592000,7.2002049739e-02,4643930.120,25197154.431,6983674.275,-573.050,-729.780,3008.111,4644062.918,25197129.955,6983674.275,-573.054,-729.777,3008.111,-5.2360864283e-04,9.0932308412e-10,-9.3132257462e-09,44.909695,252.344887,7.553512,3.383142,-0.061829,1.626365,-0.485919,-8.039432
2025-01-01 00:00:00.000,G31,C1C,23673016.577,23673026.883,-10.306,23673016.577,23673016.737,23673017.817,124402537.184000,96937043.132000,7.8745870225e-02,10263128.502,24124043.350,-3006022.426,-201.502,442.221,3152.842,10263267.508,24123984.212,-3006022.426,-201.500,442.222,3152.842,-2.1883286542e-04,1.9538815443e-08,-1.3504177332e-08,18.161700,239.024792,12.326330,7.662721,1.669386,-0.441956,3.187897,-9.138433
2025-01-01 00:01:00.000,G10,C1C,20180878.485,20180876.708,1.777,20180878.485,20180878.325,20180879.035,106051202.377000,82637296.976000,6.7058494865e-02,-7264566.562,21897628.415,13083414.228,-1190.765,1129.567,-2630.300,-7264459.048,21897664.083,13083414.228,-1190.759,1129.572,-2630.300,-2.5769278802e-04,2.2931042275e-08,2.3283064365e-09,83.053716,261.327046,5.820618,2.406130,1.097467,1.350331,1.946608,-3.874011
2025-01-01 00:01:00.000,G12,C1C,22348879.874,22348889.469,-9.595,22348879.874,22348880.074,22348880.684,117444133.580000,91514903.096000,7.3986079749e-02,-20132967.851,4243740.580,16482369.273,1355.533,-1679.380,2056.788,-20132944.871,4243849.601,16482369.273,1355.524,-1679.387,2056.788,-5.6177065364e-04,1.1463669993e-08,-1.2572854757e-08,34.105228,64.162857,9.952128,4.259688,0.942894,2.335401,0.169916,-9.782212
2025-01-01 00:01:00.000,G23,C1C,21311257.268,21311263.665,-6.397,21311257.268,21311257.088,21311258.088,111991366.567000,87265990.724000,7.1481592070e-02,-16812817.675,20385807.796,-618045.675,-129.473,-211.066,-3236.607,-16812711.008,20385895.767,-618045.675,-129.474,-211.066,-3236.607,3.9488681605e-04,2.7730761088e-09,-8.3819031715e-09,45.270042,152.848588,8.246557,3.361997,1.545728,3.472090,nan,nan
2025-01-01 00:01:00.000,G24,C1C,24470512.353,24470510.576,1.777,24470512.353,24470512.513,24470518.443,128593361.631000,100202605.972000,8.1156319798e-02,-17946944.657,-6071146.480,18298663.220,-890.991,-2252.253,-1541.397,-17946980.707,-6071039.912,18298663.220,-891.005,-2252.248,-1541.397,-4.6849089297e-04,-3.2429519844e-08,2.3283064365e-09,10.706111,51.812174,16.796279,12.857031,9.166166,5.088599,nan,nan
2025-01-01 00:01:00.000,G25,C1C,20692434.304,20692430.039,4.265,20692434.304,20692433.814,20692437.004,108739445.795000,84732030.310000,6.9519942374e-02,-19479252.922,16361927.903,6780028.270,317.623,-920.876,3004.026,-19479169.650,16362027.040,6780028.270,317.618,-920.877,3004.026,4.9739140426e-04,1.9709133733e-08,5.5879354477e-09,53.551304,117.786395,7.303106,2.969295,4.930872,2.028630,4.805283,-2.497823
2025-01-01 00:01:00.000,G28,C1C,21722467.949,21722475.057,-7.108,21722467.949,21722468.189,21722467.779,114152317.207000,88949853.308000,7.1934745324e-02,4609214.021,25152794.128,7163899.569,-583.952,-748.835,2999.077,4609346.462,25152769.858,7163899.569,-583.956,-748.832,2999.077,-5.2360924992e-04,9.0518707082e-10,-9.3132257462e-09,45.222274,252.891331,7.547673,3.364777,-0.633748,1.606403,-0.505882,-8.053555
2025-01-01 00:01:00.000,G31,C1C,23638506.534,23638516.840,-10.306,23638506.534,23638506.724,23638509.114,124221191.705000,96795735.019000,7.8630757029e-02,10250844.136,24149922.347,-2816726.985,-207.807,420.292,3156.632,10250983.088,24149863.366,-2816726.985,-207.805,420.293,3156.632,-2.1883281767e-04,1.9407722920e-08,-1.3504177332e-08,18.497572,239.349308,12.285897,7.528321,3.694289,-0.461757,3.168097,-9.117800
2025-01-01 00:02:00.000,G10,C1C,20178497.746,20178495.969,1.777,20178497.746,20178497.776,20178498.646,106038692.002000,82627548.559000,6.7050552590e-02,-7335513.500,21965081.972,12925088.311,-1173.897,1118.795,-2646.972,-7335405.667,21965117.984,12925088.311,-1173.892,1118.801,-2646.972,-2.5769374299e-04,2.2901505406e-08,2.3283064365e-09,83.057950,256.955996,5.846254,2.406108,1.344783,1.377829,1.974105,-3.872149
2025-01-01 00:02:00.000,G12,C1C,22360928.234,22360937.829,-9.595,22360928.234,22360928.104,22360928.224,117507445.505000,91564236.930000,7.4026268464e-02,-20051481.568,4142491.380,16605133.009,1360.581,-1695.400,2035.191,-20051459.124,4142600.018,16605133.009,1360.572,-1695.408,2035.191,-5.6177079006e-04,1.1312683927e-08,-1.2572854757e-08,33.941606,63.645465,10.016657,4.277745,0.185487,2.385807,0.220322,-9.796335
