epoch,sat_count,dual_count,mean_elevation_deg,mean_iono_model_m,mean_dual_iono_m,mean_trop_m,mean_clock_bias_ns,mean_relativity_ns,mean_tgd_ns
2025-01-01 00:00:00.000,6,5,40.781347,9.906528,1.909175,5.523629,-255500.588566,7.107683,-4.190952
2025-01-01 00:01:00.000,7,5,41.486607,9.707466,1.916804,5.249606,-162588.311701,6.394330,-4.789659
2025-01-01 00:02:00.000,7,5,41.473756,9.760309,1.919220,5.292818,-162588.455921,6.285802,-4.789659
2025-01-01 00:03:00.000,7,5,41.453080,9.814217,1.924311,5.340779,-162588.600141,6.176787,-4.789659
2025-01-01 00:04:00.000,6,5,46.712003,8.600605,1.929661,3.930256,-111605.162066,12.565342,-5.975987
2025-01-01 00:05:00.000,6,5,46.725365,8.627046,1.949845,3.915420,-111605.366703,12.463497,-5.975987
2025-01-01 00:06:00.000,5,5,47.504749,8.634815,2.054858,3.979691,-212904.505837,14.376190,-5.494803
2025-01-01 00:07:00.000,5,5,47.596464,8.647226,2.062188,3.958044,-212904.842805,14.271364,-5.494803
2025-01-01 00:08:00.000,5,5,47.678481,8.660255,2.068022,3.937486,-212905.179773,14.165425,-5.494803
2025-01-01 00:09:00.000,5,5,47.751331,8.673906,2.079622,3.917981,-212905.516741,14.058381,-5.494803
2025-01-01 00:10:00.000,5,5,47.815546,8.688185,2.093843,3.899500,-212905.853709,13.950240,-5.494803
2025-01-01 00:11:00.000,5,5,47.871648,8.703098,2.106360,3.882012,-212906.190677,13.841011,-5.494803
2025-01-01 00:12:00.000,5,5,47.920126,8.718653,2.116290,3.865491,-212906.527645,13.730702,-5.494803
2025-01-01 00:13:00.000,5,5,47.961435,8.734856,2.134046,3.849912,-212906.864612,13.619320,-5.494803
2025-01-01 00:14:00.000,5,5,47.995987,8.751716,2.157347,3.835252,-212907.201580,13.506876,-5.494803
2025-01-01 00:15:00.000,5,5,48.024152,8.769240,2.184705,3.821490,-212907.538548,13.393377,-5.494803
2025-01-01 00:16:00.000,5,5,48.046260,8.787436,2.214351,3.808608,-212907.875516,13.278832,-5.494803
2025-01-01 00:17:00.000,5,5,48.062600,8.806314,2.242021,3.796587,-212908.212484,13.163250,-5.494803
